porg_plant_material_id,plant_id,plant_name,material_id,material_name,purchasing_org_id,user_id,supplier_id,supplier_name,supplier_plant,valid_from,valid_to,user_purchase_org_id,rejection_reason
455,7,Dahej,200112-000000,nan,1,nan,17376,TPL Plastech Ltd,SILVASSA-194Q,,,,Foreign key violation - referenced ID not found in master table
456,7,Dahej,200112-000000,nan,1,nan,27750,Cosmoplast Polycontainer LLP,Dadra-194Q,,,,Foreign key violation - referenced ID not found in master table
457,7,Dahej,200121-000005,nan,1,nan,10104,Time Technoplast Ltd.,DAMAN-194Q,,,,Foreign key violation - referenced ID not found in master table
458,7,Dahej,200121-000005,nan,1,nan,11510,Pyramid Technoplast Pvt Ltd,BARUCH-194Q,,,,Foreign key violation - referenced ID not found in master table
459,7,Dahej,200131-000000,nan,1,nan,24934,East India Drums And Barrels Mfg Pvt Ltd,Daman-194Q,,,,Foreign key violation - referenced ID not found in master table
460,7,Dahej,200134-000000,nan,1,nan,29019,East India Drums And Barrels Manufacturing Ltd,Daman-194Q,,,,Foreign key violation - referenced ID not found in master table
461,7,Dahej,200156-000000,nan,1,nan,14941,Gurukrupa Associates,KUTCH-194Q,,,,Foreign key violation - referenced ID not found in master table
462,7,Dahej,200156-000000,nan,1,nan,22828,Mahadev packaging,Kutch-194Q,,,,Foreign key violation - referenced ID not found in master table
463,7,Dahej,200156-000000,nan,1,nan,28677,Gurukrupa Associates-Ankleshwar,DAHEJ-194Q,,,,Foreign key violation - referenced ID not found in master table
464,7,Dahej,200431-000000,nan,1,nan,10600,Balmer Lawrie and Co Ltd.,Silvassa-194Q,,,,Foreign key violation - referenced ID not found in master table
465,7,Dahej,200431-000000,nan,1,nan,10717,Gujarat Containers Limited,VADODARA-194Q,,,,Foreign key violation - referenced ID not found in master table
466,7,Dahej,200431-000000,nan,1,nan,28513,MuellerUnifab Packaging LLP,Vadodara-194Q,,,,Foreign key violation - referenced ID not found in master table
